"id","text","answer","a","b","c","d"
"1","Given the matrix A = [[1, 2], [3, 4]], apply the matrix multiplication to find the product of A and the vector v = [1, 1].","[3, 7]","[3, 7]","[1, 1]","[2, 4]","[4, 6]"
"2","Apply the Gaussian elimination method to solve the system of equations: 2x + 3y = 5 and 4x + 6y = 10.","Infinite solutions","No solution","Infinite solutions","x = 1, y = 1","x = 0, y = 0"
"3","Use the determinant to determine if the matrix A = [[2, 3], [4, 6]] is invertible.","No, it is not invertible","Yes, it is invertible","No, it is not invertible","It depends on the context","Cannot be determined"
"4","Apply the concept of eigenvalues to find the eigenvalues of the matrix A = [[1, 0], [0, 2]].","1 and 2","1 and 2","0 and 1","2 and 3","1 and 3"
"5","Use the concept of linear independence to determine if the vectors v1 = [1, 2] and v2 = [2, 4] are linearly independent.","No, they are not linearly independent","Yes, they are linearly independent","No, they are not linearly independent","It depends on the context","Cannot be determined"
"6","Apply the Gram-Schmidt process to orthogonalize the set of vectors {v1 = [1, 1], v2 = [1, -1]}. What is the resulting orthogonal set?","{[1, 1], [0, -2]}","{[1, 1], [1, -1]}","{[1, 1], [0, -2]}","{[1, 1], [2, 0]}","{[1, 1], [0, 1]}"
"7","Use the concept of matrix rank to determine the rank of the matrix A = [[1, 2], [2, 4]].","1","0","1","2","3"
"8","Apply the concept of vector projection to find the projection of vector v = [3, 4] onto vector u = [1, 0].","[3, 0]","[3, 0]","[0, 4]","[1, 4]","[3, 4]"
"9","Use the concept of matrix inversion to find the inverse of the matrix A = [[1, 2], [3, 4]].","[[-2, 1], [1.5, -0.5]]","[[-2, 1], [1.5, -0.5]]","[[4, -2], [-3, 1]]","[[1, 0], [0, 1]]","[[2, -1], [-1.5, 0.5]]"
"10","Apply the concept of linear transformations to determine the image of the vector v = [1, 2] under the transformation T(x, y) = (2x + y, x - y).","[3, -1]","[4, -1]","[3, -1]","[2, 1]","[1, 2]"
