ambiguous_unclear_information,implausible_distractors,none_of_the_above,longest_answer_correct,gratuitous_information_in_stem,true_or_false,avoid_convergence_cues,avoid_logical_cues,all_of_the_above,fill_in_the_blank,absolute_terms,word_repeats_in_stem_and_correct_answer,unfocused_stem,complex_k_type,grammatical_cues_in_stem,lost_sequence,vague_terms,more_than_one_correct,negative_worded_stem
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
